yas,gelir,abonelik_suresi,destek_talebi_sayisi,sehir,uyelik_tipi,churn
56.0,68370.0,9,2,Izmir,Standard,0
35.0,27688.0,43,5,Izmir,Basic,0
21.0,40342.0,48,2,Ankara,Premium,0
42.0,52157.0,39,0,Adana,Premium,0
31.0,17327.0,29,3,Bursa,Basic,1
26.0,55772.0,42,5,Bursa,Premium,0
43.0,67083.0,26,1,Izmir,Basic,0
19.0,55545.0,35,0,Ankara,Basic,1
37.0,15197.0,25,8,Bursa,Standard,0
45.0,38509.0,24,1,Izmir,Basic,0
64.0,49698.0,13,2,Adana,Premium,0
24.0,59542.0,7,3,Bursa,Premium,0
61.0,30087.0,36,4,Izmir,Standard,0
25.0,37671.0,45,3,Izmir,Basic,1
64.0,40184.0,20,0,Istanbul,Basic,1
52.0,42848.0,1,0,Adana,Standard,0
31.0,57107.0,8,3,Istanbul,Premium,1
34.0,35666.0,46,1,Ankara,Standard,0
53.0,59357.0,16,2,Istanbul,Basic,0
57.0,66663.0,14,3,Istanbul,Standard,0
21.0,30708.0,12,5,Bursa,Standard,1
19.0,41370.0,23,2,Izmir,Standard,0
23.0,64811.0,15,3,Adana,Basic,0
59.0,17811.0,28,2,Istanbul,Standard,0
21.0,71250.0,34,0,Adana,Standard,0
46.0,62011.0,2,0,Istanbul,Premium,1
35.0,21546.0,32,1,Ankara,Basic,0
43.0,73713.0,23,1,Istanbul,Standard,0
61.0,49754.0,22,3,Bursa,Premium,0
51.0,45206.0,25,1,Izmir,Basic,0
27.0,56106.0,22,0,Ankara,Premium,0
53.0,26411.0,22,1,Istanbul,Standard,1
31.0,17911.0,42,1,Adana,Basic,0
48.0,16734.0,6,0,Ankara,Basic,1
65.0,33227.0,15,1,Ankara,Standard,0
32.0,23680.0,43,2,Istanbul,Basic,1
25.0,34360.0,37,0,Ankara,Standard,1
31.0,33343.0,33,2,Adana,Basic,0
40.0,20759.0,8,2,Ankara,Standard,1
57.0,38078.0,44,3,Adana,Basic,0
38.0,50153.0,44,1,Istanbul,Premium,0
33.0,26111.0,5,2,Izmir,Premium,0
62.0,52504.0,39,2,Ankara,Premium,0
35.0,16802.0,4,3,Izmir,Standard,0
64.0,23155.0,6,1,Adana,Basic,1
41.0,23120.0,45,2,Ankara,Standard,1
43.0,54384.0,32,1,Bursa,Basic,0
42.0,,30,0,Izmir,Basic,0
62.0,62254.0,47,1,Ankara,Basic,0
58.0,36918.0,35,1,Izmir,Standard,0
46.0,35445.0,40,5,Ankara,Standard,0
32.0,75713.0,16,3,Istanbul,Standard,0
62.0,45306.0,13,0,Izmir,Standard,1
18.0,31646.0,42,1,Bursa,Basic,0
42.0,61843.0,30,2,Bursa,Premium,0
24.0,70439.0,19,3,Adana,Standard,0
26.0,46065.0,17,1,Ankara,Standard,0
41.0,40199.0,19,1,Izmir,Basic,0
18.0,56976.0,28,1,Adana,Standard,0
61.0,31371.0,26,1,Izmir,Standard,1
25.0,26835.0,37,3,Ankara,Basic,0
41.0,60936.0,26,4,Bursa,Basic,1
28.0,17049.0,23,1,Istanbul,Standard,1
34.0,46616.0,9,3,Bursa,Standard,1
25.0,53191.0,12,2,Adana,Basic,1
52.0,62357.0,1,2,Istanbul,Premium,0
52.0,76067.0,1,0,Adana,Basic,0
50.0,35932.0,47,2,Ankara,Standard,0
22.0,67260.0,34,1,Istanbul,Premium,1
59.0,44855.0,32,1,Adana,Standard,1
56.0,76434.0,48,1,Ankara,Standard,0
58.0,22158.0,25,0,Bursa,Basic,1
45.0,58016.0,40,3,Ankara,Basic,0
24.0,22400.0,45,4,Izmir,Premium,0
26.0,67322.0,1,4,Ankara,Standard,0
25.0,57642.0,16,2,Ankara,Premium,0
29.0,30151.0,39,0,Izmir,Basic,0
51.0,66407.0,5,3,Adana,Basic,0
50.0,16154.0,22,2,Adana,Basic,1
65.0,19499.0,29,1,Ankara,Standard,1
40.0,21295.0,3,2,Izmir,Basic,0
41.0,70349.0,12,3,Izmir,Premium,0
54.0,75535.0,26,2,Bursa,Standard,1
52.0,74040.0,16,2,Adana,Premium,1
61.0,27183.0,37,4,Istanbul,Basic,0
57.0,44299.0,22,0,Adana,Premium,0
39.0,27874.0,29,3,Adana,Standard,0
44.0,65800.0,14,5,Bursa,Standard,0
52.0,47711.0,28,1,Istanbul,Premium,0
18.0,20539.0,5,1,Bursa,Standard,0
52.0,57405.0,47,3,Istanbul,Standard,0
54.0,68351.0,30,1,Ankara,Basic,0
64.0,76267.0,46,1,Istanbul,Basic,0
31.0,72597.0,5,2,Bursa,Premium,0
20.0,63354.0,12,2,Adana,Standard,0
18.0,75527.0,16,3,Istanbul,Standard,1
22.0,17557.0,26,1,Istanbul,Standard,0
43.0,53360.0,26,3,Izmir,Basic,1
31.0,31482.0,48,2,Adana,Basic,0
56.0,17200.0,21,2,Ankara,Standard,0
44.0,61940.0,39,6,Bursa,Standard,0
26.0,17961.0,36,3,Ankara,Basic,0
32.0,61975.0,33,3,Adana,Standard,0
32.0,36357.0,30,2,Istanbul,Basic,0
43.0,68585.0,37,4,Istanbul,Standard,1
59.0,26969.0,23,0,Adana,Basic,1
30.0,17869.0,10,2,Istanbul,Standard,0
49.0,75578.0,5,1,Istanbul,Basic,0
56.0,76135.0,36,3,Istanbul,Standard,0
49.0,65108.0,34,2,Bursa,Basic,0
21.0,61760.0,31,1,Bursa,,0
47.0,43643.0,10,1,Izmir,Basic,0
54.0,39736.0,19,3,Ankara,Standard,0
40.0,53467.0,32,1,Adana,Standard,0
56.0,38328.0,1,1,Adana,Basic,0
62.0,68645.0,5,2,Adana,Standard,1
32.0,40876.0,45,0,Izmir,Premium,0
60.0,36295.0,4,3,Bursa,Standard,1
46.0,18987.0,16,3,Izmir,Basic,0
53.0,73871.0,24,1,Adana,Standard,0
30.0,37399.0,16,2,Ankara,Basic,0
49.0,77855.0,2,3,Istanbul,Basic,1
24.0,61214.0,28,2,Bursa,Premium,0
39.0,48986.0,32,3,Bursa,Basic,0
45.0,35880.0,27,2,Izmir,Standard,1
19.0,19735.0,20,0,Bursa,Standard,0
59.0,59064.0,24,1,Adana,Standard,0
62.0,75079.0,12,1,Adana,Standard,0
23.0,19555.0,35,1,Izmir,Basic,1
45.0,56914.0,33,1,Adana,Basic,0
45.0,55818.0,33,0,Ankara,Standard,0
61.0,60525.0,43,2,Izmir,Basic,0
61.0,34830.0,37,1,Ankara,Basic,1
37.0,32429.0,12,3,Istanbul,Basic,0
47.0,21893.0,3,2,Ankara,Basic,0
28.0,65845.0,1,2,Istanbul,Basic,1
45.0,29373.0,33,0,Istanbul,Basic,0
42.0,62333.0,40,1,Ankara,Standard,0
56.0,18436.0,10,1,Izmir,Standard,0
50.0,23754.0,43,3,Adana,Premium,0
18.0,25677.0,44,1,Adana,Basic,0
44.0,20895.0,29,2,Istanbul,Basic,0
30.0,34738.0,13,2,Istanbul,Basic,0
58.0,45746.0,12,3,Izmir,Standard,0
20.0,64377.0,31,4,Bursa,Standard,0
56.0,63404.0,46,0,Ankara,Basic,0
23.0,69045.0,2,2,Istanbul,Premium,1
25.0,47352.0,35,1,Adana,Basic,0
44.0,78771.0,23,3,Izmir,Standard,0
26.0,54790.0,17,1,Ankara,Standard,0
54.0,56919.0,26,1,Izmir,Premium,0
50.0,20600.0,8,2,Ankara,Standard,1
59.0,44124.0,29,2,Ankara,Premium,0
61.0,42643.0,26,0,Istanbul,Basic,1
41.0,55764.0,10,1,Izmir,Premium,0
32.0,24007.0,26,4,Izmir,Basic,0
49.0,60714.0,34,3,Adana,Premium,0
49.0,71835.0,41,0,Adana,Standard,0
41.0,52410.0,7,1,Istanbul,Premium,1
