musteri_id,yas,aylik_gelir_TL,calisma_suresi_yil,kredi_tutari_TL,kredi_vadesi_ay,kredi_gecmisi_ay,mevcut_borc_TL,aylik_gider_TL,ev_sahipligi,calisma_durumu,kredi_amaci,odeme_gecmisi,onceki_takip_sayisi,kredi_riski
M00069,30,46003.0,4.4,24067,48,99,44545.0,21744,Ev Sahibi,Serbest,Egitim,Orta,1,Risksiz
M00070,56,64695.0,20.5,85428,60,313,14735.0,8638,Kira,Tam Zamanli,Arac,Orta,0,Risksiz
M00071,34,15000.0,12.5,87162,48,148,22372.0,9087,Aile Yaninda,Tam Zamanli,Ev,Kotu,0,Riskli
M00072,51,72532.0,23.7,68134,36,462,21839.0,12953,Kira,Tam Zamanli,Tuketici,Iyi,0,Risksiz
M00073,35,42156.0,4.7,103731,60,109,0.0,10464,Ev Sahibi,Tam Zamanli,Tatil,Iyi,0,Riskli
M00074,28,37316.0,2.7,59978,72,106,24058.0,13616,Kira,Tam Zamanli,Arac,Orta,0,Riskli
M00075,34,26782.0,8.1,86938,12,107,43191.0,16287,Aile Yaninda,Tam Zamanli,Isletme,Orta,1,Riskli
M00076,43,15213.0,19.4,39410,72,181,7064.0,24697,Kira,Tam Zamanli,Arac,Kotu,0,Riskli
M00077,60,59817.0,24.9,69293,24,400,,15431,Kira,Tam Zamanli,Egitim,Orta,0,Riskli
M00078,41,46320.0,12.6,64769,60,232,38780.0,5315,Kira,Tam Zamanli,Tatil,Iyi,0,Risksiz
M00079,36,21781.0,5.8,76759,36,145,16784.0,27121,Kira,Yari Zamanli,Ev,Orta,1,Riskli
M00080,65,21689.0,31.2,58914,24,401,27452.0,11303,Kira,Tam Zamanli,Isletme,Orta,0,Riskli
M00081,38,38956.0,14.3,66056,36,134,58770.0,17530,Ev Sahibi,Tam Zamanli,Arac,Iyi,0,Riskli
M00082,44,75042.0,12.7,94781,48,219,43204.0,21572,Kira,Tam Zamanli,Ev,Iyi,1,Risksiz
M00083,46,40327.0,19.9,56897,36,385,30158.0,19597,Kira,Tam Zamanli,Arac,Iyi,0,Riskli
M00084,45,17943.0,22.0,21803,12,366,25722.0,26753,Kira,Issiz,Tatil,Iyi,1,Riskli
M00085,65,40577.0,19.0,122488,48,408,31379.0,21832,Ev Sahibi,Tam Zamanli,Egitim,Orta,0,Riskli
M00086,61,,25.2,111444,60,454,20788.0,11110,Ev Sahibi,Yari Zamanli,Tuketici,Iyi,1,Riskli
M00087,49,15000.0,13.7,31232,36,412,0.0,35428,Ev Sahibi,Serbest,Ev,Iyi,0,Risksiz
M00088,35,44023.0,11.6,90691,24,103,66759.0,19555,Ev Sahibi,Serbest,Arac,Iyi,0,Riskli
M00089,65,,29.1,54911,36,587,32796.0,16821,Kira,Tam Zamanli,Tuketici,Iyi,1,Riskli
M00090,21,57532.0,0.7,77905,12,41,37167.0,25711,Kira,Tam Zamanli,Ev,Iyi,1,Riskli
M00091,45,78281.0,19.5,78827,60,182,28958.0,19996,Kira,Yari Zamanli,Tuketici,Orta,2,Riskli
M00092,27,65278.0,,62968,60,66,16768.0,21194,Ev Sahibi,Tam Zamanli,Ev,Iyi,1,Risksiz
M00093,29,40160.0,7.6,46487,48,151,26653.0,37937,Aile Yaninda,Serbest,Tuketici,Iyi,0,Risksiz
M00094,44,,14.9,49284,36,268,1211.0,15799,Ev Sahibi,Yari Zamanli,Arac,Iyi,0,Risksiz
M00095,21,91320.0,0.4,42514,60,18,70988.0,15458,Kira,Yari Zamanli,Tatil,Iyi,0,Risksiz
M00096,64,46066.0,31.6,45045,36,371,7779.0,18933,Kira,Tam Zamanli,Ev,Iyi,0,Riskli
M00097,28,45251.0,6.2,67985,60,96,11425.0,26572,Kira,Yari Zamanli,Ev,Iyi,1,Riskli
M00098,44,44566.0,11.8,48527,48,300,22075.0,5948,Ev Sahibi,Yari Zamanli,Arac,Kotu,0,Risksiz
M00099,31,48566.0,9.0,90462,60,154,53185.0,5000,Kira,Serbest,Ev,Orta,1,Riskli
M00100,37,42402.0,14.3,114617,48,265,30261.0,13303,Aile Yaninda,Tam Zamanli,Arac,Iyi,0,Risksiz
M00101,28,34674.0,3.7,52598,36,83,7750.0,5000,Kira,Tam Zamanli,Egitim,Iyi,0,Riskli
M00102,55,35157.0,31.2,77182,72,381,52578.0,14601,Aile Yaninda,Tam Zamanli,Tatil,Kotu,0,Riskli
M00103,55,44410.0,13.5,84991,36,380,43158.0,22020,Ev Sahibi,Tam Zamanli,Tuketici,Orta,0,Riskli
M00104,53,35218.0,13.9,84160,48,324,39692.0,10874,Ev Sahibi,Tam Zamanli,Tuketici,Iyi,1,Risksiz
M00105,25,32169.0,2.1,72279,24,51,42883.0,6585,Ev Sahibi,Serbest,Tatil,Orta,1,Riskli
M00106,62,46916.0,35.1,92280,48,608,73099.0,18555,Ev Sahibi,Tam Zamanli,Arac,Orta,0,Riskli
M00107,59,40410.0,27.0,84467,48,526,69332.0,24900,Ev Sahibi,Serbest,Egitim,Orta,0,Riskli
M00108,61,72072.0,16.0,32870,24,429,17639.0,5000,Ev Sahibi,Tam Zamanli,Arac,Iyi,0,Risksiz
M00109,48,15000.0,15.8,96075,12,325,59230.0,24562,Ev Sahibi,Tam Zamanli,Tuketici,Iyi,0,Riskli
M00110,27,64647.0,4.7,96619,48,70,36897.0,24538,Aile Yaninda,Tam Zamanli,Arac,Iyi,0,Risksiz
M00111,29,67430.0,3.2,47101,60,114,38984.0,25633,Ev Sahibi,Tam Zamanli,Ev,Kotu,0,Risksiz
M00112,28,15000.0,6.6,71138,36,116,0.0,27748,Ev Sahibi,Serbest,Tuketici,Orta,0,Riskli
M00113,32,38832.0,9.4,90500,24,142,26933.0,35616,Aile Yaninda,Tam Zamanli,Arac,Iyi,0,Riskli
M00114,54,38314.0,20.5,63721,48,501,15369.0,15151,Kira,Tam Zamanli,Tuketici,Kotu,0,Riskli
M00115,53,19665.0,29.0,102189,24,381,44905.0,18877,Kira,Tam Zamanli,Tuketici,Kotu,0,Riskli
M00116,43,30999.0,12.7,140916,36,224,49279.0,14668,Ev Sahibi,Issiz,Ev,Kotu,0,Riskli
M00117,44,25010.0,21.4,46420,24,317,0.0,18016,Ev Sahibi,Tam Zamanli,Ev,Kotu,0,Riskli
M00118,57,76541.0,25.9,28569,24,287,29603.0,30263,Ev Sahibi,Tam Zamanli,Egitim,Kotu,0,Risksiz
M00119,55,61842.0,23.8,79115,24,336,50194.0,7240,Kira,Tam Zamanli,Tatil,Iyi,0,Riskli
M00120,64,67888.0,17.6,91647,36,404,26640.0,11112,Ev Sahibi,Tam Zamanli,Arac,Orta,0,Riskli
M00121,60,57990.0,33.2,63074,12,397,43123.0,29017,Ev Sahibi,Tam Zamanli,Tuketici,Orta,1,Risksiz
M00122,42,24677.0,12.2,113598,36,294,36321.0,26160,Kira,Serbest,Tatil,Iyi,0,Riskli
M00123,47,35559.0,10.7,29842,36,286,36150.0,15095,Ev Sahibi,Tam Zamanli,Arac,Iyi,1,Riskli
M00124,55,53809.0,10.8,90788,36,457,25116.0,24835,Ev Sahibi,Tam Zamanli,Ev,Kotu,0,Riskli
M00125,21,23002.0,0.6,51824,36,32,8102.0,20730,Kira,Tam Zamanli,Tuketici,Iyi,0,Riskli
M00126,55,57834.0,21.6,121581,60,323,9812.0,30002,Ev Sahibi,Tam Zamanli,Arac,Kotu,0,Riskli
M00127,57,40674.0,27.1,129775,24,487,42768.0,18596,Ev Sahibi,Tam Zamanli,Tuketici,Iyi,2,Riskli
M00128,34,38253.0,11.7,47000,36,127,30350.0,26205,Kira,Issiz,Egitim,Iyi,1,Riskli
M00129,23,57797.0,1.0,53513,12,39,27507.0,39136,Kira,Serbest,Tatil,Iyi,0,Risksiz
M00130,21,52997.0,0.7,95788,12,30,22370.0,22785,Aile Yaninda,Serbest,Tuketici,Iyi,1,Risksiz
M00131,25,38503.0,2.1,58386,48,57,24507.0,18395,Kira,Serbest,Tuketici,Orta,0,Risksiz
M00132,46,65868.0,21.2,68638,48,170,48844.0,23780,Kira,Tam Zamanli,Arac,Iyi,0,Risksiz
M00133,34,25541.0,11.1,70762,60,179,23966.0,15078,Kira,Tam Zamanli,Arac,Iyi,0,Riskli
M00134,59,56087.0,24.4,12410,36,414,5861.0,37104,Ev Sahibi,Tam Zamanli,Tuketici,Iyi,0,Risksiz
M00135,47,55676.0,19.6,69585,72,277,43386.0,19441,Ev Sahibi,Tam Zamanli,Egitim,Iyi,0,Riskli
M00136,29,39428.0,4.4,49308,12,151,26312.0,15817,Ev Sahibi,Tam Zamanli,Arac,Iyi,0,Riskli
M00137,35,50870.0,8.7,55206,24,180,30565.0,11314,Kira,Tam Zamanli,Isletme,Orta,0,Risksiz
M00138,35,22480.0,11.9,113309,12,219,58936.0,26778,Aile Yaninda,Yari Zamanli,Arac,Iyi,1,Riskli
M00139,46,61632.0,15.0,32305,24,199,29630.0,24937,Kira,Serbest,Ev,Iyi,0,Risksiz
M00140,62,41672.0,21.6,94396,36,464,35205.0,14021,Kira,Serbest,Ev,,1,Riskli
M00141,33,35591.0,7.8,61631,48,194,8779.0,22612,Kira,Issiz,Tuketici,Iyi,0,Riskli
M00142,52,63882.0,25.5,61607,12,363,26046.0,5932,Kira,Tam Zamanli,Tuketici,Iyi,0,Riskli
M00143,59,32322.0,19.5,93711,72,482,40971.0,19480,Aile Yaninda,Tam Zamanli,Arac,Iyi,0,Riskli
M00144,52,19648.0,12.9,80202,60,305,2003.0,21622,Aile Yaninda,Yari Zamanli,Arac,Orta,0,Riskli
M00145,24,16981.0,2.9,87118,36,40,33615.0,31659,Kira,Tam Zamanli,Arac,Kotu,0,Riskli
M00146,50,55908.0,23.9,99046,12,309,31814.0,11833,Aile Yaninda,Tam Zamanli,Tuketici,Orta,0,Riskli
M00147,57,21952.0,13.3,60061,24,357,30743.0,7773,Ev Sahibi,Tam Zamanli,Ev,Iyi,0,Risksiz
M00148,43,76586.0,10.2,51633,24,323,48669.0,10837,Aile Yaninda,Tam Zamanli,Isletme,Iyi,1,Riskli
M00149,59,15000.0,15.0,37445,24,326,36020.0,7307,Kira,Tam Zamanli,Arac,Iyi,2,Riskli
M00150,65,75536.0,22.9,45238,36,645,56605.0,28693,Ev Sahibi,Tam Zamanli,Isletme,Orta,0,Risksiz
M00151,35,48798.0,8.6,158473,24,232,12115.0,30389,Kira,Tam Zamanli,Ev,Kotu,0,Riskli
M00152,63,43259.0,32.2,107340,36,359,32447.0,20562,Ev Sahibi,Yari Zamanli,Tuketici,Iyi,1,Risksiz
M00153,49,35191.0,20.0,29468,72,272,31520.0,27770,Kira,Tam Zamanli,Arac,Iyi,0,Risksiz
M00154,56,52184.0,24.2,30326,48,500,10753.0,19072,Ev Sahibi,Tam Zamanli,Ev,Orta,0,Risksiz
M00155,33,44323.0,6.6,84456,72,206,47213.0,17239,Kira,Tam Zamanli,Tuketici,Orta,0,Riskli
M00156,52,64859.0,25.8,86418,24,325,71844.0,15336,Kira,Tam Zamanli,Tuketici,Orta,1,Riskli
M00157,27,47056.0,4.1,86467,36,77,29694.0,15517,Ev Sahibi,Serbest,Arac,Orta,1,Riskli
M00158,42,47705.0,19.5,62351,36,245,39090.0,5618,Ev Sahibi,Serbest,Tuketici,Kotu,0,Risksiz
M00159,48,38455.0,19.1,66236,12,345,31521.0,20114,Ev Sahibi,Yari Zamanli,Tatil,Iyi,1,Riskli
M00160,22,43975.0,0.8,79836,12,33,17155.0,17677,Ev Sahibi,Tam Zamanli,Tuketici,Kotu,1,Riskli
M00161,62,50540.0,29.6,72577,48,523,0.0,23963,Kira,Tam Zamanli,Arac,Kotu,0,Risksiz
M00162,65,15000.0,22.3,5000,48,301,17296.0,18748,Ev Sahibi,Tam Zamanli,Egitim,Orta,0,Riskli
M00163,26,20733.0,4.3,63106,36,51,4945.0,16698,Kira,Tam Zamanli,Egitim,Iyi,2,Riskli
M00164,48,58379.0,9.6,44458,36,273,60674.0,11030,Kira,Tam Zamanli,Arac,Iyi,0,Riskli
M00165,48,48076.0,,75256,36,265,27928.0,18577,Ev Sahibi,Tam Zamanli,Tuketici,Iyi,0,Risksiz
M00166,64,41688.0,35.8,159558,12,392,23773.0,23906,Ev Sahibi,Tam Zamanli,Ev,Iyi,0,Riskli
M00167,64,45332.0,19.2,81024,36,457,46005.0,8853,Ev Sahibi,Yari Zamanli,Ev,Kotu,0,Riskli
M00168,40,51256.0,16.0,60594,24,188,9808.0,18700,Ev Sahibi,Tam Zamanli,Tatil,Iyi,0,Riskli
M00169,50,35284.0,14.0,97654,24,241,16196.0,19864,Ev Sahibi,Serbest,Tuketici,Iyi,1,Riskli
M00170,31,30991.0,7.5,84481,72,110,31225.0,12255,Kira,Tam Zamanli,Arac,Orta,1,Riskli
M00171,48,48525.0,20.1,82603,48,414,48518.0,13297,Kira,Tam Zamanli,Arac,Iyi,0,Riskli
M00172,45,27389.0,15.2,88206,48,251,39030.0,19845,Ev Sahibi,Issiz,Isletme,Iyi,1,Riskli
M00173,59,52349.0,18.8,131696,36,392,34470.0,8933,Kira,Issiz,Arac,Iyi,2,Riskli
M00174,53,15000.0,14.1,36073,36,371,31406.0,20799,Kira,Tam Zamanli,Tuketici,Orta,0,Riskli
M00175,21,63525.0,0.3,84209,24,42,37204.0,10837,Kira,Tam Zamanli,Tuketici,Iyi,0,Risksiz
M00176,47,53507.0,13.0,42209,24,230,33630.0,26503,Ev Sahibi,Tam Zamanli,Egitim,Kotu,0,Riskli
M00177,33,49609.0,9.0,86665,24,172,11460.0,36703,Kira,Tam Zamanli,Isletme,Iyi,0,Riskli
M00178,61,62688.0,35.4,42439,60,504,30829.0,11114,Ev Sahibi,Serbest,Tuketici,Kotu,0,Riskli
M00179,23,74979.0,2.5,57479,48,54,10674.0,22274,Ev Sahibi,Issiz,Egitim,Iyi,0,Riskli
M00180,59,63259.0,29.6,61147,36,275,31459.0,12186,Kira,Yari Zamanli,Tatil,Iyi,0,Risksiz
M00181,26,15000.0,4.6,99275,36,91,21348.0,26328,Ev Sahibi,Tam Zamanli,Tuketici,Iyi,0,Riskli
M00182,28,21968.0,5.6,97554,60,65,75709.0,7878,Ev Sahibi,Tam Zamanli,Tatil,Iyi,0,Riskli
M00183,47,33753.0,12.3,32628,12,312,29282.0,21845,Ev Sahibi,Tam Zamanli,Tuketici,Iyi,0,Risksiz
M00184,29,45470.0,7.6,71648,36,131,4724.0,11016,Ev Sahibi,Serbest,Arac,Iyi,0,Risksiz
M00185,57,54318.0,26.0,48713,36,300,27585.0,16344,Kira,Serbest,Arac,Iyi,0,Risksiz
M00186,53,31937.0,21.0,32245,60,446,39348.0,9752,Ev Sahibi,Tam Zamanli,Arac,Orta,0,Risksiz
M00187,62,48362.0,15.4,63489,72,275,60121.0,24579,Kira,Tam Zamanli,Ev,Iyi,0,Riskli
M00188,64,31403.0,25.0,60746,24,587,19390.0,11304,Aile Yaninda,Tam Zamanli,Ev,Iyi,0,Risksiz
M00189,44,33993.0,13.8,142801,60,252,1516.0,22416,Ev Sahibi,Tam Zamanli,Tuketici,Orta,1,Riskli
M00190,35,19680.0,12.3,82989,60,132,,15247,Ev Sahibi,Serbest,Tuketici,Kotu,0,Riskli
M00191,52,28382.0,20.1,28671,24,240,5149.0,17084,Kira,Tam Zamanli,Tuketici,Iyi,2,Riskli
M00192,52,20670.0,16.9,53057,36,463,22149.0,19182,Kira,Tam Zamanli,Tatil,Iyi,0,Riskli
M00193,44,27434.0,21.3,100641,36,171,25363.0,11905,Kira,Tam Zamanli,Tuketici,Kotu,0,Riskli
M00194,61,63966.0,15.0,132653,72,326,28747.0,19683,Kira,Serbest,Egitim,Iyi,0,Riskli
M00195,32,27911.0,6.6,22421,24,123,42405.0,30243,Kira,Tam Zamanli,Tuketici,Kotu,1,Riskli
M00196,59,92383.0,12.7,13602,60,449,17695.0,11775,Ev Sahibi,Serbest,Arac,Iyi,1,Risksiz
M00197,22,53880.0,1.5,126129,36,41,25073.0,27374,Kira,Serbest,Isletme,Kotu,1,Riskli
M00198,23,48327.0,2.6,81688,48,35,29743.0,29985,Aile Yaninda,Issiz,Tuketici,Iyi,0,Risksiz
M00199,57,29550.0,17.3,43951,36,324,32693.0,11471,Kira,Tam Zamanli,Arac,Kotu,0,Riskli
M00200,37,57606.0,13.9,86039,48,150,31761.0,6360,Aile Yaninda,Tam Zamanli,Tatil,,0,Riskli
M00201,22,,1.0,5000,60,31,37848.0,20416,Aile Yaninda,Tam Zamanli,Egitim,Orta,0,Risksiz
M00202,22,47196.0,1.7,70101,60,37,45189.0,13621,Ev Sahibi,Tam Zamanli,Ev,Iyi,1,Riskli
M00203,48,91082.0,21.1,79835,60,349,37067.0,32949,Ev Sahibi,Tam Zamanli,Tatil,Iyi,1,Risksiz
M00204,43,43271.0,18.0,97728,12,193,38165.0,18278,Kira,Tam Zamanli,Arac,Orta,0,Riskli
M00205,57,65687.0,11.5,39583,48,348,1520.0,11582,Ev Sahibi,Tam Zamanli,Ev,Iyi,1,Risksiz
M00206,52,32343.0,28.1,72571,24,310,30904.0,8823,Kira,Serbest,Isletme,Kotu,0,Risksiz
M00207,53,44370.0,24.3,42237,36,483,38631.0,26719,Kira,Tam Zamanli,Tuketici,Iyi,0,Risksiz
M00208,21,76874.0,0.5,77662,36,41,43121.0,13431,Ev Sahibi,Yari Zamanli,Tuketici,Kotu,0,Riskli
M00209,39,33715.0,15.2,43140,36,260,17538.0,18351,Ev Sahibi,Serbest,Tuketici,Iyi,1,Risksiz
M00210,22,77624.0,0.9,57757,36,32,18137.0,25646,Ev Sahibi,Serbest,Arac,Kotu,0,Riskli
M00211,64,57740.0,36.2,40126,72,301,19666.0,14126,Kira,Serbest,Egitim,Kotu,1,Riskli
M00212,46,34876.0,9.6,89534,24,239,39655.0,17633,Kira,Yari Zamanli,Tuketici,Iyi,0,Riskli
M00213,52,56383.0,23.1,95754,48,277,48610.0,17867,Kira,Issiz,Isletme,Kotu,1,Riskli
M00214,26,62506.0,3.7,62961,36,80,22666.0,23467,Kira,Tam Zamanli,Arac,Orta,1,Riskli
M00215,52,56193.0,11.5,71147,24,416,46343.0,22726,Kira,Tam Zamanli,Tuketici,Iyi,2,Riskli
M00216,24,16736.0,1.8,26542,24,77,32223.0,16239,Kira,Tam Zamanli,Isletme,Orta,0,Riskli
M00217,31,31912.0,3.4,61010,72,166,27763.0,18509,Kira,Tam Zamanli,Tuketici,Iyi,0,Riskli
M00218,37,40545.0,9.9,68494,60,169,26195.0,15026,Ev Sahibi,Tam Zamanli,Isletme,Orta,0,Riskli
M00219,58,43660.0,18.3,148624,60,460,43439.0,6179,Kira,Tam Zamanli,Arac,Iyi,0,Riskli
M00220,44,56172.0,15.8,36641,72,221,35860.0,20061,Ev Sahibi,Tam Zamanli,Isletme,Iyi,0,Riskli
M00221,25,48199.0,2.4,113925,24,45,70965.0,33138,Kira,Tam Zamanli,Tuketici,Iyi,0,Riskli
M00222,54,20964.0,16.3,99906,36,418,14660.0,10930,Aile Yaninda,Tam Zamanli,Ev,Iyi,1,Riskli
M00223,26,51844.0,4.5,78419,48,49,39326.0,11816,Ev Sahibi,Serbest,Isletme,Orta,0,Risksiz
